split,category,filename,width,height
bottle,test,bottle\test\broken_large\000.jpg,640,640
bottle,test,bottle\test\broken_large\001.jpg,640,640
bottle,test,bottle\test\broken_large\002.jpg,640,640
bottle,test,bottle\test\broken_large\003.jpg,640,640
bottle,test,bottle\test\broken_large\004.jpg,640,640
bottle,test,bottle\test\broken_large\005.jpg,640,640
bottle,test,bottle\test\broken_large\006.jpg,640,640
bottle,test,bottle\test\broken_large\007.jpg,640,640
bottle,test,bottle\test\broken_large\008.jpg,640,640
bottle,test,bottle\test\broken_large\009.jpg,640,640
bottle,test,bottle\test\broken_large\010.jpg,640,640
bottle,test,bottle\test\broken_large\011.jpg,640,640
bottle,test,bottle\test\broken_large\012.jpg,640,640
bottle,test,bottle\test\broken_large\013.jpg,640,640
bottle,test,bottle\test\broken_large\014.jpg,640,640
bottle,test,bottle\test\broken_large\015.jpg,640,640
bottle,test,bottle\test\broken_large\016.jpg,640,640
bottle,test,bottle\test\broken_large\017.jpg,640,640
bottle,test,bottle\test\broken_large\018.jpg,640,640
bottle,test,bottle\test\broken_large\019.jpg,640,640
bottle,test,bottle\test\broken_small\000.jpg,640,640
bottle,test,bottle\test\broken_small\001.jpg,640,640
bottle,test,bottle\test\broken_small\002.jpg,640,640
bottle,test,bottle\test\broken_small\003.jpg,640,640
bottle,test,bottle\test\broken_small\004.jpg,640,640
bottle,test,bottle\test\broken_small\005.jpg,640,640
bottle,test,bottle\test\broken_small\006.jpg,640,640
bottle,test,bottle\test\broken_small\007.jpg,640,640
bottle,test,bottle\test\broken_small\008.jpg,640,640
bottle,test,bottle\test\broken_small\009.jpg,640,640
bottle,test,bottle\test\broken_small\010.jpg,640,640
bottle,test,bottle\test\broken_small\011.jpg,640,640
bottle,test,bottle\test\broken_small\012.jpg,640,640
bottle,test,bottle\test\broken_small\013.jpg,640,640
bottle,test,bottle\test\broken_small\014.jpg,640,640
bottle,test,bottle\test\broken_small\015.jpg,640,640
bottle,test,bottle\test\broken_small\016.jpg,640,640
bottle,test,bottle\test\broken_small\017.jpg,640,640
bottle,test,bottle\test\broken_small\018.jpg,640,640
bottle,test,bottle\test\broken_small\019.jpg,640,640
bottle,test,bottle\test\broken_small\020.jpg,640,640
bottle,test,bottle\test\broken_small\021.jpg,640,640
bottle,test,bottle\test\contamination\000.jpg,640,640
bottle,test,bottle\test\contamination\001.jpg,640,640
bottle,test,bottle\test\contamination\002.jpg,640,640
bottle,test,bottle\test\contamination\003.jpg,640,640
bottle,test,bottle\test\contamination\004.jpg,640,640
bottle,test,bottle\test\contamination\005.jpg,640,640
bottle,test,bottle\test\contamination\006.jpg,640,640
bottle,test,bottle\test\contamination\007.jpg,640,640
bottle,test,bottle\test\contamination\008.jpg,640,640
